id,x,y
15625,-73.734604,26.670935
702,-73.35875,23.874464
11069,91.9109,42.15506
6402,92.065834,42.0005
200,35.571415,142.57535
1,54.338463,29.368631
701,-0.05993069,24.37728
4536,35.199825,142.96996
5113,35.43675,143.45709
5750,36.09743,143.49522
6360,34.58459,142.19719
6435,36.436924,142.27515
9839,34.60724,143.29785
11350,35.54643,143.34276
11563,36.4088,144.31625
16819,35.46455,143.71376
17100,36.42722,142.42291
10023,-101.98635,-126.52713
9837,-101.68719,-126.350105
18900,68.547455,102.35099
1239,83.378,62.88064
10778,-131.72046,-54.421993
174,-59.563854,-42.36846
7993,-131.17941,-53.79216
5743,139.40924,-63.53076
2648,139.5574,-63.60618
11507,92.2531,-54.441956
3561,36.507133,74.14208
3908,87.198425,-54.06861
12009,92.643166,-54.442062
7745,92.17203,-54.43903
10835,92.13576,-54.427017
3303,-82.59759,43.19332
209,125.05835,-17.9841
715,43.56664,-0.73779535
1833,14.004898,10.38764
2828,88.86736,0.6653774
2914,54.98252,-30.709427
3092,-80.26936,42.059765
3300,-97.50221,32.277203
3333,-48.194733,57.5776
3356,20.70869,-44.616802
3549,63.51285,-0.14966811
4513,-44.941265,45.274704
5459,-60.981464,51.21919
5622,-78.29859,38.095905
6079,1.9751682,2.5182586
6461,-26.440756,23.850544
6553,17.582796,91.95215
6667,-96.2536,90.41333
6730,-84.742714,38.244865
6756,-78.30659,40.73968
7018,126.63067,45.292957
8327,-82.43935,44.86454
8368,-84.83567,79.95834
8408,-81.80283,39.38603
8437,-106.27256,39.934113
8477,-53.984516,83.80102
8659,-82.65888,42.528934
8729,-78.23145,45.38723
8736,-61.870644,-14.686464
8802,-79.00302,41.319595
8803,-86.3524,42.070866
8843,15.703676,73.30743
8918,-52.996223,51.684357
9025,-83.49368,41.17445
9042,-83.12605,41.146748
9078,-24.846088,156.44237
9096,-78.93816,41.392292
9108,-84.16824,40.929047
12333,-78.9751,42.82324
12347,-78.44698,41.71859
12368,-78.941826,41.15222
12387,-86.116325,42.344555
12403,-82.45999,42.294624
12429,-77.26482,41.76069
12511,-83.51293,40.63755
12620,-83.062874,40.571873
12649,-86.38084,42.33883
12750,-84.025795,40.534462
12772,-83.71083,41.014942
12776,-83.76023,41.50418
12928,-82.6579,40.944454
13267,-86.58401,42.144085
13277,-80.75581,43.74359
13283,-78.52317,41.538094
15470,-78.81102,52.86918
15513,-86.70716,42.210087
15532,-83.568855,41.84022
15581,-78.241745,45.74234
15600,-80.582115,44.114838
15661,-83.17455,40.327854
15818,-78.7357,41.305096
15998,-78.47848,41.20892
16133,-82.77639,40.57758
16267,-82.50962,42.147774
16319,-82.556046,44.183216
16779,-57.37809,-89.99542
20493,-82.38407,42.49309
559,-91.86227,40.22639
6751,-55.50244,88.872826
5409,-55.84224,88.681656
10325,60.54597,17.75648
6465,-16.168716,27.401615
10790,-16.30298,27.369415
2941,78.643616,-47.540092
5705,77.71298,-47.119953
7424,79.26796,-47.77274
9210,-29.104591,151.97534
3215,-32.770336,153.59012
3259,-26.848692,153.8733
11118,142.02766,-23.611961
11734,19.09887,-55.563797
12090,127.77815,14.9276285
2379,127.885735,13.767387
14528,28.693027,-51.49802
10105,-116.03929,-139.40802
7474,-116.78544,-142.9747
10760,64.326706,-115.80848
10930,63.997902,-115.86283
14890,64.447426,-115.78294
19366,64.33919,-115.802925
10231,-78.72371,-123.15842
4058,-79.82759,-124.111115
20172,18.158535,-49.718548
6354,12.257406,0.6957935
3967,0.06357669,-29.485613
11854,13.129964,2.4970326
16970,-4.4494357,-38.114075
1740,-1.8882961,-42.181374
2046,31.942938,170.95798
721,27.999176,170.43254
12327,-133.23553,118.481926
8342,-139.48433,120.633224
6767,-133.24756,118.50452
10229,-40.79938,-122.63891
3462,-40.17211,-123.37515
13057,-75.69434,80.37656
3292,-76.43909,80.60949
12206,15.122952,0.16335309
19375,15.084062,0.21548021
11472,28.945583,94.867775
15358,86.030396,-52.53019
12409,-24.895506,155.41194
6675,-23.381813,147.26865
6775,-73.18695,32.87117
3334,-73.19781,32.891804
19864,95.75816,62.32048
19719,-16.48121,-52.519276
10910,-17.393444,-54.109642
20486,-120.32423,77.25017
8246,-127.7139,78.67271
9085,-119.46853,77.18325
5594,-28.285585,142.53645
1103,-32.99398,62.154972
1299,-114.4013,77.05687
3257,-58.105743,53.499817
3296,-29.195023,145.9945
5378,-52.96568,25.753607
5413,-55.045193,58.464874
6678,-29.773336,140.71149
6760,-31.995466,146.00027
6904,-26.698694,142.9444
8362,-28.69763,145.5245
8527,-29.985111,139.90802
8554,-27.923632,141.1868
8784,-26.029198,139.89005
8964,-27.063257,143.3001
8999,-26.182919,145.08044
9036,-30.728146,144.1192
9057,-58.45956,71.49374
9121,-158.59721,33.409687
12362,-30.008904,139.91945
12372,-26.274878,145.01605
12417,-28.48252,143.57445
12662,-29.565813,144.6309
12807,-30.194082,147.70766
12832,-29.833519,142.44011
12864,-29.240763,145.95761
13049,-27.776808,140.91492
13193,-29.890265,142.44421
16057,-28.221354,144.39116
16077,-28.680431,143.43153
16140,-26.408943,144.83513
16208,-28.479967,144.55258
16211,-28.643848,143.25276
20529,-28.608435,143.41129
5560,-28.29768,143.24576
11981,-58.704266,-49.500492
16935,82.933334,90.40089
10826,82.92628,90.4031
10830,82.951454,90.39635
7038,-158.82303,-88.719955
6503,-157.6049,-89.63158
3935,60.874294,-42.728886
10430,60.592113,-42.629513
19204,107.62599,16.453602
5696,104.425415,-72.51209
7132,106.40536,17.097754
7010,-26.011538,24.8704
8496,-130.26414,97.269844
8225,-130.31328,97.32551
11591,45.989685,-121.47755
6347,47.58973,-109.142
15736,-61.304546,39.15267
3216,-137.89142,102.36132
5519,-60.74393,40.537556
16520,108.6321,-140.99763
816,111.91013,-141.58122
15290,104.4901,-141.55008
6106,82.17162,-12.657627
11422,81.755844,-11.7150755
10339,15.235544,3.2366714
14742,15.13266,3.1424487
7473,-102.427574,-103.246796
1221,-108.52901,-132.21423
3758,-100.01412,-113.49386
4628,-97.59367,-111.69225
4657,-101.67757,-114.54788
4750,-97.78833,-77.88854
4761,-99.00936,-102.12389
4765,-97.81514,-76.69633
4775,-89.40289,-67.80297
4787,-104.921074,-103.67237
5511,-101.96563,-23.63804
5727,-96.75356,-91.17367
6427,46.312977,3.3974378
6774,-62.458103,61.02723
7091,42.737896,4.3510046
7470,-101.89481,-83.242935
7543,-112.96249,-145.59114
7586,-114.85015,-119.596886
7607,-97.55445,-106.49682
7643,-106.25686,-132.73921
7652,-113.27919,-120.768524
7719,-102.131584,-106.00136
7991,-100.11476,-105.462715
9340,-118.291794,-30.735943
9398,-118.31448,-30.703642
9429,-101.060425,-104.58551
9498,-92.139885,-56.841824
9534,-100.968864,-101.96317
9553,-114.30745,-145.23659
9583,-94.35258,-58.595016
9656,-97.31276,-106.47049
9729,-83.81217,-111.313774
9740,-96.97546,-108.67724
9745,-101.8683,-104.577034
9794,-99.89638,-102.706184
9873,-101.57073,-103.36107
9905,-94.99722,-63.966717
9911,-101.61835,-103.99511
9919,-104.28689,-101.33209
9930,-101.909004,-99.47507
9989,-97.48008,-106.535576
10024,-91.759544,-8.289203
10029,-95.07995,-56.358196
10081,-102.83594,-101.54755
10084,-113.04637,-115.900116
10091,-97.28704,-107.66515
10094,-102.95064,-101.65541
10101,-102.8537,-101.657715
10113,-97.56414,-106.54584
10121,-97.41769,-106.87062
10137,-101.82401,-103.92403
10199,-93.83503,-59.407413
10230,-101.346756,-104.11381
10236,-103.463295,-105.06013
10530,-119.212,-27.699232
17448,-101.963425,-104.42164
17462,-100.88113,-104.25332
17465,-101.882324,-103.77371
17486,-111.90609,-119.242615
17547,-97.99682,-108.3064
17549,-101.0326,-103.624954
17618,-101.256714,-103.61579
17658,-99.97432,-102.758965
17668,-103.27718,-106.939575
17725,-100.07703,-102.75602
4613,-102.25409,-103.95561
4803,-101.54162,-104.58722
20533,-144.28036,106.37399
8443,-144.2972,106.32834
10925,45.860783,-120.60431
15518,-52.288223,51.862606
9245,-95.7176,-149.01604
4648,-96.74131,-149.2996
9941,-95.130135,-149.38834
16737,-21.779032,-11.462616
11853,-21.83375,-12.347999
15582,-137.20528,114.007965
8732,-137.14261,114.0443
19133,17.03836,28.232714
19057,141.0994,-20.845455
13738,-22.723263,-11.485987
15166,68.891525,103.34334
18510,5.7695246,37.270428
17013,129.92162,-15.075998
15295,-24.076506,20.272585
3720,-24.103048,20.36038
19830,149.0225,-30.192776
19158,148.912,-30.471117
1984,36.528946,200.24391
1913,38.986004,200.27141
19169,31.563822,74.51293
13533,1.7601454,-57.345398
18994,1.4203968,-57.64446
11556,30.697168,77.827415
15827,-189.7522,65.629395
5518,-190.16109,66.34841
12577,-59.01494,52.546825
7055,59.25699,19.447554
15671,-39.106876,101.16585
5631,-39.136513,68.714806
12658,-38.1948,101.06519
16264,-40.304802,100.143654
261,-23.721401,173.47005
1940,-24.121803,174.1801
13067,-138.43494,35.477867
8708,-139.6372,35.88677
12632,-137.74362,35.34392
2486,-97.07757,44.27504
12322,-69.76325,59.460598
13646,-96.56269,42.49292
10484,127.40666,72.58297
19666,18.694023,-56.413845
19130,82.63416,72.91774
8994,-105.157906,2.4632614
8657,-105.7503,4.0401244
87,178.17485,11.006105
10680,178.07457,11.107916
13012,-49.254444,102.6544
1270,-44.626575,96.77471
8384,-48.97104,102.260506
15456,-50.65631,103.07781
7467,-76.31065,-87.620445
3460,-74.723885,-88.16043
4134,-75.78864,-86.659164
4808,-77.48136,-87.785805
7114,146.5299,54.07229
5630,-34.30529,146.48134
8228,-34.427975,146.20717
5513,-133.51596,39.525616
5483,-134.00395,38.919865
5596,-133.53386,39.678688
8643,-138.42937,8.158902
5408,-136.20137,9.236584
17323,13.899623,43.467083
19725,155.19228,-10.493239
7704,-89.579605,-116.8051
7722,-89.60911,-116.92336
18739,-175.24196,-58.018307
4230,-178.43488,-57.368492
10810,80.7014,73.76598
9053,-37.2532,98.95428
8196,-37.997456,99.0112
8379,-57.269444,82.598976
7478,-42.42647,-123.39185
4778,-42.261528,-124.43186
9505,-44.098408,-121.32168
18507,-3.4070919,-39.13649
12305,-105.88697,3.1359565
11820,85.68839,-97.597466
2548,81.42511,-87.35445
1583,37.705494,201.66714
1580,37.584248,201.331
6412,-107.14936,-30.29406
7138,-110.59256,-29.459532
8961,-107.03298,-31.35704
15335,75.85623,104.19589
13334,19.093716,-81.23696
6172,19.326681,-82.40851
12554,-53.272118,55.272877
11341,-90.50733,59.567783
14646,165.30803,-23.94675
13440,-159.95746,-88.97538
3404,63.704414,59.21141
6582,61.056408,59.520203
11129,63.301834,59.488102
11301,66.263,59.40247
11500,63.484,59.868668
13345,64.2655,58.048183
13700,106.25011,-69.358894
13790,33.030598,-16.940838
19129,63.357075,60.13449
19560,63.57708,59.987247
19702,62.978485,58.943882
12121,147.26804,56.530174
5539,-51.203945,92.10546
1755,-96.7509,58.76173
8297,-70.58026,50.21857
8763,-40.310825,86.53206
12404,-52.677395,93.54327
12813,-45.541443,95.843
11808,60.496815,-40.130665
101,61.451458,-40.620705
7893,99.32164,-26.772867
2048,99.31293,-26.740786
2055,99.237045,-26.329424
17509,-47.166077,-76.826996
10009,-47.155624,-76.92417
12120,123.34017,37.17738
13075,-141.99516,102.61534
3267,-155.50424,112.39396
2854,-144.34871,101.8503
16502,72.55679,15.406352
6226,73.49407,15.225399
12966,-121.160255,74.88878
5617,-122.53122,76.35445
8308,-120.2504,73.77838
8021,71.33029,93.84139
9654,-90.49536,-68.06409
9658,-90.16754,-68.282005
11684,106.79896,2.8596327
7222,107.06698,2.812185
13115,-47.938457,85.49337
1273,-46.57065,87.22458
13187,-48.072544,85.49883
19107,127.255615,-18.366577
16316,-46.071674,87.52877
700,124.7912,36.212456
15256,-175.61531,-55.1361
18732,-36.792522,-85.05997
17507,-37.107914,-85.07168
18993,-9.829456,-90.788536
7685,-46.42649,-89.82929
2497,-50.54709,-88.18795
7502,-46.15072,-89.70777
7529,-46.21789,-90.22745
11111,146.27116,59.107418
3249,-116.13571,78.85388
6453,-99.180855,-38.766766
19694,86.56118,-53.620174
10018,-46.653362,-91.67152
4716,-46.85284,-92.785866
7731,85.57606,-52.427673
14482,72.88141,-57.934044
6114,73.17963,-58.246574
15578,-52.217182,52.13048
7232,-10.125533,-90.67382
16794,-99.7678,-30.170853
11992,-100.410095,-29.784046
12565,-76.675514,-9.605976
12761,-75.87321,-9.149636
16916,48.60923,-31.427393
5553,-137.64186,119.69127
13849,107.137726,20.631891
7290,106.93415,20.956024
10583,-0.34846026,-42.70118
6062,109.47529,-83.631714
6482,12.959964,3.0271835
8370,-157.0526,119.60396
3316,-156.57828,120.26204
15408,-58.010777,68.95106
15313,18.515228,-55.687412
9230,-71.01616,-114.66171
4637,-68.46259,-114.801216
1942,-24.813389,174.4184
2200,-26.456581,174.64622
5602,-62.659286,-11.124375
286,-82.3622,66.46458
2686,-127.11762,2.2482004
3313,-62.074997,-7.1105003
5394,-58.699394,-10.410287
