id,x,y,kde
701,-0.05993069,24.37728,0.000356085
1239,83.378,62.88064,0.000376818
7018,126.63067,45.292957,0.000356198
3561,36.507133,74.14208,0.000430294
209,125.05835,-17.9841,0.000356422
1,54.338463,29.368631,0.000356358
6461,-26.440756,23.850544,0.00036358
4513,-44.941265,45.274704,0.000360871
2914,54.98252,-30.709427,0.000359007
3549,63.51285,-0.14966811,0.000358393
702,-73.35875,23.874464,0.000358612
3356,20.70869,-44.616802,0.000357673
3257,-58.105743,53.499817,0.000363532
6347,47.58973,-109.142,0.000358581
6453,-99.180855,-38.766766,0.000367323
8918,-52.996223,51.684357,0.000383791
9057,-58.45956,71.49374,0.000360963
2548,81.42511,-87.35445,0.000368988
4766,-4.128612,-194.78786,0.000357037
174,-59.563854,-42.36846,0.000360138
3967,0.06357669,-29.485613,0.000358938
8297,-70.58026,50.21857,0.000367911
1755,-96.7509,58.76173,0.000363248
6667,-96.2536,90.41333,0.000382745
2828,88.86736,0.6653774,0.000407979
3786,-12.645857,-176.70027,0.000357391
703,-90.31217,-113.57435,0.000360512
5696,104.425415,-72.51209,0.000384044
293,85.92546,-21.849064,0.000386823
1299,-114.4013,77.05687,0.000373176
6395,91.526634,21.567078,0.000410785
5650,70.27581,-62.49567,0.000369663
5511,-101.96563,-23.63804,0.000399982
721,27.999176,170.43254,0.000356884
5459,-60.981464,51.21919,0.000361764
6079,1.9751682,2.5182586,0.000413367
8342,-139.48433,120.633224,0.000357731
7474,-116.78544,-142.9747,0.000358388
11537,97.59771,-20.76594,0.000372
1270,-44.626575,96.77471,0.000372107
4637,-68.46259,-114.801216,0.000366218
1221,-108.52901,-132.21423,0.000359959
2516,-54.92523,-86.584885,0.000390654
10910,-17.393444,-54.109642,0.000393662
1740,-1.8882961,-42.181374,0.000398079
6172,19.326681,-82.40851,0.000403274
286,-82.3622,66.46458,0.000432444
7473,-102.427574,-103.246796,0.000386098
6730,-84.742714,38.244865,0.00037815
4230,-178.43488,-57.368492,0.000357256
4323,180.0238,5.4288588,0.000429967
5400,-113.16941,26.790752,0.000458483
3333,-48.194733,57.5776,0.000358668
3259,-26.848692,153.8733,0.000360343
1273,-46.57065,87.22458,0.000398156
3269,-65.38488,-9.754601,0.000361008
5409,-55.84224,88.681656,0.000431094
4565,41.261486,-77.90177,0.000443406
3303,-82.59759,43.19332,0.000386312
3320,-49.923313,108.50083,0.000388335
3908,87.198425,-54.06861,0.000434343
3300,-97.50221,32.277203,0.000461076
3215,-32.770336,153.59012,0.000359032
2685,3.471405,11.408405,0.000417802
715,43.56664,-0.73779535,0.000477842
10530,-119.212,-27.699232,0.000391589
13646,-96.56269,42.49292,0.000423246
9126,-61.224934,100.760925,0.000390744
10911,-8.038764,-102.70915,0.000472713
5378,-52.96568,25.753607,0.000379712
6427,46.312977,3.3974378,0.0003934
7170,42.794056,160.86948,0.000363008
5617,-122.53122,76.35445,0.000359636
2497,-50.54709,-88.18795,0.000563796
577,99.095375,-145.4728,0.000387418
2764,-117.790016,-124.89389,0.000359205
4006,115.91098,-39.96144,0.000652383
2686,-127.11762,2.2482004,0.000428938
15290,104.4901,-141.55008,0.000367378
5413,-55.045193,58.464874,0.000357154
1913,38.986004,200.27141,0.000357144
4694,-43.916023,-84.995094,0.000395897
9318,1.2417958,-170.05077,0.000361681
1267,-72.69695,-6.9133735,0.000383786
1785,148.66663,-70.20193,0.000389074
3602,117.98205,-146.10425,0.000376954
5006,158.95996,21.767937,0.000416554
9121,-158.59721,33.409687,0.000369232
4200,77.94999,-35.971992,0.000753133
6259,113.10512,-61.270466,0.000448822
8151,-164.7541,-88.41236,0.000358036
6503,-157.6049,-89.63158,0.000359688
5673,-6.222093,-85.30719,0.000410669
8246,-127.7139,78.67271,0.000357712
10912,-11.025049,-73.79378,0.000398015
6467,100.491455,-44.8266,0.000513539
145,145.15024,-64.921295,0.000481491
3976,-24.962524,-184.8574,0.000362062
3292,-76.43909,80.60949,0.000399854
3216,-137.89142,102.36132,0.000369582
724,46.613453,180.40987,0.000358084
5594,-28.285585,142.53645,0.000381801
3557,40.002956,3.666364,0.000368816
6993,42.93191,-11.63295,0.000481323
6539,108.36021,-152.6081,0.000373082
5056,109.26279,41.186962,0.000469833
4926,-141.8857,-64.09081,0.000360405
2856,-59.398052,26.534508,0.000578761
5676,0.12028974,-76.15598,0.000432983
3491,7.498124,-18.506638,0.000605218
8938,-67.30982,69.64192,0.001042988
2854,-144.34871,101.8503,0.000368558
4969,9.729108,-10.69797,0.000580767
4058,-79.82759,-124.111115,0.00036026
6762,-98.925354,-13.426817,0.000853139
5727,-96.75356,-91.17367,0.000526997
4540,78.71659,14.199753,0.000518718
2200,-26.456581,174.64622,0.000361257
297,89.67849,-10.964235,0.000452708
7176,-72.81274,2.9767091,0.000816567
13126,-162.11334,58.320927,0.000440094
5568,-156.37938,116.63042,0.000366598
5408,-136.20137,9.236584,0.000361295
11919,-93.3369,-63.29594,0.000372067
7922,125.73719,61.824062,0.000384508
8001,-2.319842,-9.05239,0.000523328
517,-53.39287,95.97203,0.000394011
7303,-147.59521,-61.32426,0.000360193
4725,-45.04238,-95.59862,0.000389754
3313,-62.074997,-7.1105003,0.00036638
7911,109.00511,7.8227577,0.000511191
8584,-166.65295,-4.845671,0.000369633
6517,-19.482155,12.726419,0.000394468
4635,-79.53412,-114.47903,0.000398156
12885,-50.77359,31.207653,0.000561316
13789,-11.773595,-57.686485,0.000565235
10913,-19.699488,-37.72032,0.000443023
5377,-155.10551,48.680305,0.000452412
5551,-63.8949,16.739733,0.000934697
6675,-23.381813,147.26865,0.000376308
8903,-90.73417,10.889252,0.000436884
8220,-92.844345,22.32257,0.000578734
8210,-104.24502,65.39987,0.000412351
5430,-41.125908,104.558075,0.000426542
4755,-93.33305,-57.427082,0.000394673
9505,-44.098408,-121.32168,0.000375639
3741,-124.544685,-8.657141,0.000368159
11415,-167.9634,-53.01807,0.000403033
11853,-21.83375,-12.347999,0.000450115
9225,-76.639084,-116.01582,0.000501587
12976,-143.28531,113.80643,0.000378583
1103,-32.99398,62.154972,0.001232401
10764,93.239136,-21.598467,0.000375805
6754,-40.027645,85.73434,0.000380043
6939,41.47012,7.742386,0.000572952
4000,-116.70401,-44.98383,0.000514179
1901,-108.408615,42.837315,0.000408484
1668,-39.522915,-59.956955,0.000581133
1833,14.004898,10.38764,0.000599663
6402,92.065834,42.0005,0.000664297
11042,-142.15579,26.873123,0.000624412
8933,-132.83418,45.907635,0.00043966
11563,36.4088,144.31625,0.000411194
5669,-45.685936,39.681313,0.000859906
1836,-88.20566,42.07885,0.000385281
7501,-47.842567,-88.73554,0.000497672
2551,48.05168,26.891466,0.000368689
6553,17.582796,91.95215,0.000770724
5713,-124.669075,-11.574275,0.000366392
2118,-149.90564,115.03622,0.000360953
3302,-56.822968,-2.57219,0.00036899
2905,-127.95682,-9.6314945,0.000369259
4544,25.728056,14.927002,0.00054486
6664,-67.88601,-10.83194,0.000357428
